Headline,Description,Manufacturer,Model,Part Number,Price,Quantity
"1102628 CRT MONITOR","1102628 CRT MONITOR","","","1102628","0","1"
"BATTERY CHARGER IXION 15kW BATTERY CHARGER IXION 15kW 10412300. PHILIPS","BATTERY CHARGER IXION 15kW BATTERY CHARGER IXION 15kW 10412300. PHILIPS","PHILIPS","","IXION ","0","1"
"TAMAGAWA ELECTRONICS component, possibly an attenuator or termination, with the part number CFA-20IBJJ-30 and serial number 620338, rated for MAX 20W and Zo 50Ω.. GE","TAMAGAWA ELECTRONICS component, possibly an attenuator or termination, with the part number CFA-20IBJJ-30 and serial number 620338, rated for MAX 20W and Zo 50Ω.. GE","GE","","CFA-20IBJJ-30","0","1"
"5127609 REV 8 10092595 COLLIMATOR. INNOVA 2100","5127609 REV 8 10092595 COLLIMATOR. INNOVA 2100","GE","","5127609","0","1"
"BSM30-4618*B. TOSHIBA","BSM30-4618*B. TOSHIBA","TOSHIBA","","BSM30-4618","0","1"
"ASSY 174670 REV A. Philips","ASSY 174670 REV A. Philips","PHILIPS","","174670","0","1"
"Parker Hannifin Corp. Electromechanical Automation part with model number 459800191691 and serial number 150506R0043.","Parker Hannifin Corp. Electromechanical Automation part with model number 459800191691 and serial number 150506R0043.","","","459800191691","0","1"
"POWER SUPPLY ZWS75AF-5. TOSHIBA","POWER SUPPLY ZWS75AF-5. TOSHIBA","TOSHIBA","","ZWS75AF-5","0","1"
"7128833 D10. LUMINOS","7128833 D10. LUMINOS","SIEMENS","","7128833","0","1"
"171837 AC INPUT 403876-001. PICKER","171837 AC INPUT 403876-001. PICKER","PHILIPS ","","171837","0","1"
"17040 POWER SUPPLY. SIEMENS","17040 POWER SUPPLY. SIEMENS","SIEMENS","","17040","0","1"
"451210774138. PHILIP H5000","451210774138. PHILIP H5000","PHILIPS","","451210774138","0","1"
"IMML93800435 INTEL MASTER BOARD. SIEMENS","IMML93800435 INTEL MASTER BOARD. SIEMENS","SIEMENS","","IMML93800435","0","1"
"7717700 D600 WITH DAUGHTER BOARD D311 D310 D300. ARTIS ZEE","7717700 D600 WITH DAUGHTER BOARD D311 D310 D300. ARTIS ZEE","SIEMENS","","7717700","0","1"
"This SIEMENS Rack Mount Drawer part has a model number of 7395465 and a material number of A5E00205771.. SIEMENS","This SIEMENS Rack Mount Drawer part has a model number of 7395465 and a material number of A5E00205771.. SIEMENS","SIEMENS","","7395465","0","1"
"46-904926G06. GE","46-904926G06. GE","GE","","46-904926G06","0","1"
"ACE300F AC3-OHWM-00 BY COSEL. RT","ACE300F AC3-OHWM-00 BY COSEL. RT","GE","","ACE300F","0","1"
"PCI CARD K.5152.02 CAN-PCI/331-1 453566494911 IN Z440","PCI CARD K.5152.02 CAN-PCI/331-1 453566494911 IN Z440","","","453566494911","0","1"
"2113448. GE","2113448. GE","GE","","#VALUE!","0","1"
"3125643 XCSMP. SIEMENS","3125643 XCSMP. SIEMENS","SIEMENS","","3125643","0","1"
"COSEL PBA600F-24 power supply with part number 1073515SR visible.. COSEL","COSEL PBA600F-24 power supply with part number 1073515SR visible.. COSEL","COSEL","","PBA600F-24","0","1"
"Liebel-Flarsheim part with REF 903300 E and SN CI0609C037.. Liebel-Flarsheim","Liebel-Flarsheim part with REF 903300 E and SN CI0609C037.. Liebel-Flarsheim","Liebel-Flarsheim","","903300","0","1"
"#ERROR!","#ERROR!","GE","","","0","1"
"MRI PDU power control  with part number 0800272 REV A4 and barcode 75610291, featuring components like H11L1 optocouplers and connectors J1/J2 on the backside.. GE","MRI PDU power control  with part number 0800272 REV A4 and barcode 75610291, featuring components like H11L1 optocouplers and connectors J1/J2 on the backside.. GE","GE","","800272","0","1"
"DICOM ETHERNET CARD 2128832. GE","DICOM ETHERNET CARD 2128832. GE","GE","","2128832","0","1"
"1781462 HCC. SIEMENS","1781462 HCC. SIEMENS","SIEMENS","","1781462","0","1"
"GOU 174584 171796 . PICKER","GOU 174584 171796 . PICKER","PHILIPS ","","174584","0","1"
"This is a circuit board, possibly related to medical equipment, with part number PX12-48308 A2 and other identifiers like YWM1444.. TOSHIBA","This is a circuit board, possibly related to medical equipment, with part number PX12-48308 A2 and other identifiers like YWM1444.. TOSHIBA","TOSHIBA","","PX12-48308","0","1"
"GEMINI circuit board with multiple chips including XILINX with part numbers like XC3042AM and a component labeled 85853630 REV F.. PHILIPS","GEMINI circuit board with multiple chips including XILINX with part numbers like XC3042AM and a component labeled 85853630 REV F.. PHILIPS","PHILIPS","","XC3042AM ","0","1"
"HK15A-15/A POWER SUPPLY. GE PROFILE III","HK15A-15/A POWER SUPPLY. GE PROFILE III","GE ","","HK15A-15","0","1"
"NENIC-LAMBDA NES 240-24. SIEMENS","NENIC-LAMBDA NES 240-24. SIEMENS","SIEMENS","","NENIC-LAMBDA","0","1"
"PM30-19707 REV A. TOSHIBA","PM30-19707 REV A. TOSHIBA","TOSHIBA","","PM30-19707","0","1"
"5250098 RFCB. MR450","5250098 RFCB. MR450","GE","","5250098","0","1"
"px14-58140 m2, collimator cont. TOSHIBA","px14-58140 m2, collimator cont. TOSHIBA","TOSHIBA","","14-58140","0","1"
"452212702148. PHILIPS","452212702148. PHILIPS","PHILIPS","","452212702148","0","1"
"611-1101-05 REV A. PRECEDENCE","611-1101-05 REV A. PRECEDENCE","PHILIPS ","","611-1101-05","0","1"
"0468275 SIRESKOP COLLIMATOR. SIEMENS","0468275 SIRESKOP COLLIMATOR. SIEMENS","SIEMENS","","468275","0","1"
"MEDRAD injector system part labeled with a system serial number of 30912 and a part number of 95099-T-111.. MEDRAD","MEDRAD injector system part labeled with a system serial number of 30912 and a part number of 95099-T-111.. MEDRAD","MEDRAD","","95099-T-111","0","1"
"10656039 DSC 3012-DC LCD. ARTIS ONE","10656039 DSC 3012-DC LCD. ARTIS ONE","SIEMENS","","10656039","0","1"
"FISHER SENOSCAN SPOT. SIEMENS","FISHER SENOSCAN SPOT. SIEMENS","SIEMENS","","","0","1"
"OMEGA MML200 POWER SUPPLY D30005 . SIEMENS","OMEGA MML200 POWER SUPPLY D30005 . SIEMENS","SIEMENS","","MML200","0","1"
"DIGITAL 940002-039. SIEMENS","DIGITAL 940002-039. SIEMENS","SIEMENS","","940002-039","0","1"
"P9141WE FMP2. GE","P9141WE FMP2. GE","GE","","P9141WE","0","1"
"CONNECTOR BOX ON PENITRATION PANEL. ACHIEVA","CONNECTOR BOX ON PENITRATION PANEL. ACHIEVA","PHILIPS","","CONNECTOR","0","1"
" circuit board labeled YWM1839 GCIFA-D2 with part numbers including PX74-08853 and NX74-0018, also contains PACAV LCX16374 and PALAF LCX16244 chips.. TOSHIBA"," circuit board labeled YWM1839 GCIFA-D2 with part numbers including PX74-08853 and NX74-0018, also contains PACAV LCX16374 and PALAF LCX16244 chips.. TOSHIBA","TOSHIBA","","PX74-08853","0","1"
"Spellman AC Module Assy X3338 with part number 405378-011.. PHILIPS","Spellman AC Module Assy X3338 with part number 405378-011.. PHILIPS","PHILIPS","","405378-011.","0","1"
"7F3360 REV B. KODAK","7F3360 REV B. KODAK","KODAK","","7F3360","0","1"
"Philips CT Box, model number 4535 671 05234, manufactured in August 2018, with part number 459800845971 Rev A.. PHILIPS","Philips CT Box, model number 4535 671 05234, manufactured in August 2018, with part number 459800845971 Rev A.. PHILIPS","PHILIPS","","453567105234","0","1"
"px74-08861-3 RTM. AQUILION 16","px74-08861-3 RTM. AQUILION 16","TOSHIBA","","74-08861-3","0","1"
"AQ1038PA011 POWER SUPPLY FOR CONSOLE. GE","AQ1038PA011 POWER SUPPLY FOR CONSOLE. GE","GE","","AQ1038PA011","0","1"
"Siemens 4-port KVM Switch Serve View Pro 1/4 with Model No. 7095317 and also an IRS2 1GBit Switch with SIEMENS PART #: 1P 7394690K1616.. SIEMENS","Siemens 4-port KVM Switch Serve View Pro 1/4 with Model No. 7095317 and also an IRS2 1GBit Switch with SIEMENS PART #: 1P 7394690K1616.. SIEMENS","SIEMENS","","7095317","0","1"
"KUMATAKA(R) 12701 part, features a heat sink, timers RRT1 and RRT2, and has part number 12701.. TOSHIBA","KUMATAKA(R) 12701 part, features a heat sink, timers RRT1 and RRT2, and has part number 12701.. TOSHIBA","TOSHIBA","","KUMATAKA 12701","0","1"
"This is a PCB assembly with visible components, including a rotary switch (Fujisoku ATE10), LED displays, and a part number that reads PbF03PX12-48312 A 2.. TOSHIBA","This is a PCB assembly with visible components, including a rotary switch (Fujisoku ATE10), LED displays, and a part number that reads PbF03PX12-48312 A 2.. TOSHIBA","TOSHIBA","","PX12-48312","0","1"
"This Siemens medical equipment spare part has model number 08363777 and serial number 4417, as well as model number 08363884.. SIEMENS Flash","This Siemens medical equipment spare part has model number 08363777 and serial number 4417, as well as model number 08363884.. SIEMENS Flash","SIEMENS","","8363777","0","1"
"  a COSEL power supply board with part numbers LDA100W-24, LDA75F-5, and LDA50F-3 visible.","  a COSEL power supply board with part numbers LDA100W-24, LDA75F-5, and LDA50F-3 visible.","","","LDA100W-24","0","1"
"SANYO DENKI San Ace 172 fan, part number 109E1724T5H12, likely used for cooling in various medical equipment.. SANYO DENKI","SANYO DENKI San Ace 172 fan, part number 109E1724T5H12, likely used for cooling in various medical equipment.. SANYO DENKI","TOSHIBA","","109E1724T5H12","0","1"
"5138526 REV 07. GE","5138526 REV 07. GE","GE","","5138526","0","1"
"452219518743 DOUGHTER BD. PHILIP H5000","452219518743 DOUGHTER BD. PHILIP H5000","PHILIPS","","452219518743","0","1"
"Monoblock X-ray Tube Monoblock X-ray Tube 10263300(452212905321). PHILIPS","Monoblock X-ray Tube Monoblock X-ray Tube 10263300(452212905321). PHILIPS","PHILIPS","","10263300","0","1"
"This is an ESD GMBH TRD31 Rev 1.0 board, Made in Germany with connector X5 and multiple X12/X13/X14 connectors.. SIEMENS","This is an ESD GMBH TRD31 Rev 1.0 board, Made in Germany with connector X5 and multiple X12/X13/X14 connectors.. SIEMENS","SIEMENS","","TRD31 ","0","1"
"OPERATION PANNEL WITH lcd DISPLAY OPERATION PANNEL WITH lcd DISPLAY 452216501111. PHILIPS","OPERATION PANNEL WITH lcd DISPLAY OPERATION PANNEL WITH lcd DISPLAY 452216501111. PHILIPS","PHILIPS","","OPERATION","0","1"
"2111146 DLX CONSOLE. INNOVA 2100IQ","2111146 DLX CONSOLE. INNOVA 2100IQ","GE","","2111146","0","1"
"2117848-2 FO GANTRY CABLE. LIGHSPEED RT 16","2117848-2 FO GANTRY CABLE. LIGHSPEED RT 16","GE","","2117848-2","0","1"
"2119740 CTi HP-DAS. SIEMENS","2119740 CTi HP-DAS. SIEMENS","SIEMENS","","2119740","0","1"
"SPO2 GRIP SENSOR STARTER KIT 9467 BY INVIVO. HITACH","SPO2 GRIP SENSOR STARTER KIT 9467 BY INVIVO. HITACH","HITACHI","","SPO2","0","1"
"FUJITSU SIEMENS Celsius Quadro2 Pro-64 Graphics card with part numbers S26361-D1281-V64 GS3 and 900-03235-3414-DPA.. FUJITSU SIEMENS","FUJITSU SIEMENS Celsius Quadro2 Pro-64 Graphics card with part numbers S26361-D1281-V64 GS3 and 900-03235-3414-DPA.. FUJITSU SIEMENS","SIEMENS","","S26361-D1281-V64","0","1"
"171836 171831 INVERTER 403869-201. PICKER","171836 171831 INVERTER 403869-201. PICKER","PHILIPS ","","171836","0","1"
"DMC03A 113Y0980. FUJI","DMC03A 113Y0980. FUJI","FUJI","","DMC03A","0","1"
"ANALOGIC 4-38574 REV1 BD. TOSHIBA DETECTOR","ANALOGIC 4-38574 REV1 BD. TOSHIBA DETECTOR","TOSHIBA ","","4-38574","0","1"
"This is an SKF 5905818 motor, type C90CWSTT, model number 980.537B E49849, with a DC voltage of 90V and RPM of 3300.. SKF","This is an SKF 5905818 motor, type C90CWSTT, model number 980.537B E49849, with a DC voltage of 90V and RPM of 3300.. SKF","SIEMENS","","5905818","0","1"
"312806 178954 R2D BOARD ASSY. MX8000 exp","312806 178954 R2D BOARD ASSY. MX8000 exp","PHILIPS","","312806","0","1"
"Almost new MCS-7078D or CXB-750D x-ray tube manufactured in 2023  and used on Aquilion 16 for a few month. Tube count is only 7541 scan seconds.. Varex","Almost new MCS-7078D or CXB-750D x-ray tube manufactured in 2023  and used on Aquilion 16 for a few month. Tube count is only 7541 scan seconds.. Varex","TOSHIBA","","MCS-7078D","0","1"
"451210805305. PHILIPS","451210805305. PHILIPS","PHILIPS","","451210805305","0","1"
"Quantum Fireball ST 3.5"" hard drive with part number 1620AT ST16A011 REV 02-C AOF.08.","Quantum Fireball ST 3.5"" hard drive with part number 1620AT ST16A011 REV 02-C AOF.08.","","","ST16A011 ","0","1"
"VISUB DICOM COMPUTER WDC 452209005671 452209005681 HSDII 452209005901. PHILIP H5000","VISUB DICOM COMPUTER WDC 452209005671 452209005681 HSDII 452209005901. PHILIP H5000","PHILIPS","","452209005671","0","1"
"9F0359 2676-001 REV C. KODAK CR975","9F0359 2676-001 REV C. KODAK CR975","KODAK","","9F0359","0","1"
"4677134 LAMBDA SIRIUS CSM200 POWER SUPPLY. LUMINOS","4677134 LAMBDA SIRIUS CSM200 POWER SUPPLY. LUMINOS","SIEMENS","","4677134","0","1"
"PDS-BX01E0541 PA03393-A263 COMPUTER WITH PA03393-E181 PA03393-E111 PA03393-E181. INFX-8000C/DFP-8000A","PDS-BX01E0541 PA03393-A263 COMPUTER WITH PA03393-E181 PA03393-E111 PA03393-E181. INFX-8000C/DFP-8000A","TOSHIBA","","PDS-BX01E0541","0","1"
"2274828-5 CPU STATIF DMR+. DMR+","2274828-5 CPU STATIF DMR+. DMR+","GE","","2274828-5","0","1"
"BIGBIRE part numbers 453567098101 and 106070096.. PHILIPS","BIGBIRE part numbers 453567098101 and 106070096.. PHILIPS","PHILIPS","","453567098101","0","1"
"ACHIEVA SCSI Extension Box 452213184541 has multiple ports labeled X1, X2, X4, X5, X6, X7, X8, and B1-B12 and the type/part number visible is 4522 131 84541.. PHILIPS","ACHIEVA SCSI Extension Box 452213184541 has multiple ports labeled X1, X2, X4, X5, X6, X7, X8, and B1-B12 and the type/part number visible is 4522 131 84541.. PHILIPS","PHILIPS","","452213184541","0","1"
"TODD POWER SUPPLY 693022. GE","TODD POWER SUPPLY 693022. GE","GE","","693022","0","1"
"This SIEMENS part, labeled MCB_PHS, shows connector X40, X43, X50, and various part numbers such as DX3346, DX2013, and DX2012.. SIEMENS","This SIEMENS part, labeled MCB_PHS, shows connector X40, X43, X50, and various part numbers such as DX3346, DX2013, and DX2012.. SIEMENS","SIEMENS",""," MCB_PHS","0","1"
"This GE part, possibly related to MRI, features multiple connectors including 'Body Couple A', 'Body Output', and 'Body TR' labeled J8, J4 and J10 respectively, and has part numbers P/N 621000.03 and GE PN 2255388.. GE","This GE part, possibly related to MRI, features multiple connectors including 'Body Couple A', 'Body Output', and 'Body TR' labeled J8, J4 and J10 respectively, and has part numbers P/N 621000.03 and GE PN 2255388.. GE","GE","","2255388","0","1"
"SIEMENS Emotion Electronic Box part with a model number of 04818873 and material number 48 18 873.. SIEMENS","SIEMENS Emotion Electronic Box part with a model number of 04818873 and material number 48 18 873.. SIEMENS","SIEMENS","","4818873","0","1"
"MDK332V-0 MEC CTL BOARD. KONICA","MDK332V-0 MEC CTL BOARD. KONICA","KONICA","","MDK332V-0","0","1"
"HF3020A-BI SOSHIN EMI FILTER. TOSHIBA","HF3020A-BI SOSHIN EMI FILTER. TOSHIBA","TOSHIBA","","HF3020A-BI","0","1"
"4-38576 ANALOGIC VREFR BOARD. CT","4-38576 ANALOGIC VREFR BOARD. CT","TOSHIBA","","4-38576","0","1"
"552100121 B 530002473 A assy. SIEMENS EMOTION 6","552100121 B 530002473 A assy. SIEMENS EMOTION 6","SIEMENS","","552100121","0","1"
"\46-307144G6 1.0T 3\ \ ROUND COIL\  . GE","\46-307144G6 1.0T 3\ \ ROUND COIL\  . GE","GE","","46-307144G6","0","1"
"8363892 8363983 MATRIX INVERTER. FLASH","8363892 8363983 MATRIX INVERTER. FLASH","SIEMENS","","8363892","0","1"
"DISPLAY CONSOLE 452210445721 989600133002. ALLURA 15","DISPLAY CONSOLE 452210445721 989600133002. ALLURA 15","PHILIPS","","452210445721","0","1"
"Finder relay module, possibly used in medical equipment, with part number 225 600. Finder","Finder relay module, possibly used in medical equipment, with part number 225 600. Finder","PHILIPS","","225600","0","1"
"8363413 D790 Matrix Control Back Board. FLASH","8363413 D790 Matrix Control Back Board. FLASH","SIEMENS","","8363413","0","1"
"453567069981 REV E ACCU. BIGBORE","453567069981 REV E ACCU. BIGBORE","PHILIPS","","453567069981","0","1"
"GEM REV C. FUJI DRYSTAR 3000","GEM REV C. FUJI DRYSTAR 3000","FUJI","","","0","1"
"POS extender board and a Motion/Power regulation board with part number 5195466-REV1-190608-09/09.. GE","POS extender board and a Motion/Power regulation board with part number 5195466-REV1-190608-09/09.. GE","GE","","5195466-REV1-190608-09","0","1"
"This is a Spellman AC Module Assy X3338, part number 405378-011, and serial number 1205-2904.. PHILIPS","This is a Spellman AC Module Assy X3338, part number 405378-011, and serial number 1205-2904.. PHILIPS","PHILIPS","","405378-011","0","1"
"3100147 1010059. SIEMENS","3100147 1010059. SIEMENS","SIEMENS","","3100147","0","1"
" medical equipment circuit board with part numbers including '1P 4822503', 'S01 R1 1345', and 'S01 R1 1376'."," medical equipment circuit board with part numbers including '1P 4822503', 'S01 R1 1345', and 'S01 R1 1376'.","","","4822503","0","1"
"2246360-2 1.0T BREAST COIL. GE","2246360-2 1.0T BREAST COIL. GE","GE","","2246360-2","0","1"
"REMOTE CONTROL 21817151-6. GE","REMOTE CONTROL 21817151-6. GE","GE","","21817151-6","0","1"
"UNIVERSAL FOOT SWITCH UNIVERSAL FOOT SWITCH N/A. PHILIPS","UNIVERSAL FOOT SWITCH UNIVERSAL FOOT SWITCH N/A. PHILIPS","PHILIPS","","UNIVERSAL","0","1"
"3807976 LIGTMARKER 2400MM. SIEMENS EMOTION 6","3807976 LIGTMARKER 2400MM. SIEMENS EMOTION 6","SIEMENS","","3807976","0","1"
"5141981 RUN# 1332 CABLE 16 CHSW#1 J21. GE","5141981 RUN# 1332 CABLE 16 CHSW#1 J21. GE","GE","","5141981","0","1"
"RADCOSYS WDM1 SBC486166SE016. PHILIPS VISUB","RADCOSYS WDM1 SBC486166SE016. PHILIPS VISUB","PHILIPS ","","RADCOSYS","0","1"
"36003653 625 012 E. GE","36003653 625 012 E. GE","GE","","36003653","0","1"
" Axiom electronic circuit board, identified by part number X1110485 and also bears a number of other markings including 900-07044."," Axiom electronic circuit board, identified by part number X1110485 and also bears a number of other markings including 900-07044.","","","900-07044","0","1"
"MR-JCR-82 MEDIUM JOINT COIL. APERTO","MR-JCR-82 MEDIUM JOINT COIL. APERTO","HITACHI","","MR-JCR-82","0","1"
"This GE Medical Systems part appears to be a high voltage power supply, part number 2248992-3.. GE","This GE Medical Systems part appears to be a high voltage power supply, part number 2248992-3.. GE","GE","","","0","1"
"This is an Extron IN3662-2 2-input VGA switcher with part number IN3662-2 White.. Extron","This is an Extron IN3662-2 2-input VGA switcher with part number IN3662-2 White.. Extron","TOSHIBA","","IN3662-2","0","1"
"MX150 TUBE 2007. GE","MX150 TUBE 2007. GE","GE","","MX150","0","1"
"8690521 D300. SIEMENS","8690521 D300. SIEMENS","SIEMENS","","8690521","0","1"
"2151178-2 0.5T CONTOUR QUAD CTL. GE","2151178-2 0.5T CONTOUR QUAD CTL. GE","GE","","2151178-2","0","1"
"4359050 VGC. POLYTRON","4359050 VGC. POLYTRON","SIEMENS","","4359050","0","1"
"7325330 5225482 COMM DMA. ARTIS FA","7325330 5225482 COMM DMA. ARTIS FA","SIEMENS","","7325330","0","1"
"2405242-2-003 5145096-002 CPU SW 1.224.BIS 6.2. INNOVA 4100 DL3/RTAC3","2405242-2-003 5145096-002 CPU SW 1.224.BIS 6.2. INNOVA 4100 DL3/RTAC3","GE","","2405242-2-003","0","1"
"452212703076. FD20","452212703076. FD20","PHILIPS","","452212703076","0","1"
"P9356MA PAIF ASSY. GE PROFILE III","P9356MA PAIF ASSY. GE PROFILE III","GE ","","452212703076","0","1"
"This GE part is an S4 Image Processor, Assy 00-883807-01(A1).","This GE part is an S4 Image Processor, Assy 00-883807-01(A1).","","","00-884594","0","1"
"Toshiba display and EIZO GmbH power supply with model numbers BSX21-0340E and HXX2001871, respectively.. TOSHIBA & EIZO","Toshiba display and EIZO GmbH power supply with model numbers BSX21-0340E and HXX2001871, respectively.. TOSHIBA & EIZO","TOSHIBA ","","BSX21-0340E","0","1"
"COLLIMATOR 171841. ULTRAZ","COLLIMATOR 171841. ULTRAZ","PHILIPS","","171841","0","1"
"ANALOGIC DASM-FDLR 76248. TOSHIBA","ANALOGIC DASM-FDLR 76248. TOSHIBA","TOSHIBA","","DASM-FDLR 76248","0","1"
"7012-03 REV A IN 10249295 ACS3 10151217 DTX PN 90082. PET","7012-03 REV A IN 10249295 ACS3 10151217 DTX PN 90082. PET","SIEMENS","","7012-03","0","1"
"SCHLEIFRING CT part, consisting of receiver and transmitter components with part numbers like F-REC1, F-REC2, R-TRN1, R-TRN2, and possibly including PCB 551 002 328.. SCHLEIFRING","SCHLEIFRING CT part, consisting of receiver and transmitter components with part numbers like F-REC1, F-REC2, R-TRN1, R-TRN2, and possibly including PCB 551 002 328.. SCHLEIFRING","SIEMENS","","551002328","0","1"
"SOSHIN EMI Filter with part number NF-3100A-PS2, rated at 230 VAC 100A and 2000 VAC, with the additional label \LF2\  visible. . SOSHIN","SOSHIN EMI Filter with part number NF-3100A-PS2, rated at 230 VAC 100A and 2000 VAC, with the additional label \LF2\  visible. . SOSHIN","TOSHIBA",""," NF-3100A-PS2","0","1"
"FM2 SS1/SS1 F4 FOOT PADEL SWITCH. PQ","FM2 SS1/SS1 F4 FOOT PADEL SWITCH. PQ","PHILIPS ","","FM2 SS1/SS1 F4","0","1"
"cables with the part number 2141976-8 15AUG05.. GE","cables with the part number 2141976-8 15AUG05.. GE","GE","","2141976-8","0","1"
"SYSTIUM TECHNOLOGIES part with model number 545 and serial number 54500057972, potentially related to signal processing in a medical system.. SYSTIUM TECHNOLOGIES","SYSTIUM TECHNOLOGIES part with model number 545 and serial number 54500057972, potentially related to signal processing in a medical system.. SYSTIUM TECHNOLOGIES","SIEMENS","","SYSTIUM","0","1"
"5138076 MFD 11/2009 W. 5138035-3 CTRL BD. GE","5138076 MFD 11/2009 W. 5138035-3 CTRL BD. GE","GE","","5138076","0","1"
"45221179053 3. COMPUTER","45221179053 3. COMPUTER","PHILIPS","","45221179053","0","1"
"SIEMENS component, identified as RCP-FD, with a model number of 10308214 and a serial number of 1133.. SIEMENS","SIEMENS component, identified as RCP-FD, with a model number of 10308214 and a serial number of 1133.. SIEMENS","SIEMENS","","10308214","0","1"
" SIEMENS Medical Equipment board with part number 48 22 586 K1138 D513 E2, featuring Altera MAX programmable logic devices."," SIEMENS Medical Equipment board with part number 48 22 586 K1138 D513 E2, featuring Altera MAX programmable logic devices.","","","4822586","0","1"
"  a medical equipment part with model number 6450012-02 T and an IP address of 192.168.1.200.","  a medical equipment part with model number 6450012-02 T and an IP address of 192.168.1.200.","","","6450012-02","0","1"
"SST Ltd. Tristor Backplane circuit board with part number PT 2053-42.. SST","SST Ltd. Tristor Backplane circuit board with part number PT 2053-42.. SST","PHILIPS","","PT 2053-42","0","1"
"5213397-100 AIR BLOWER. MR450","5213397-100 AIR BLOWER. MR450","GE","","5213397-100","0","1"
"IMAGE GATE CONTROL 46-264716G1-A. GE ADVANTIX","IMAGE GATE CONTROL 46-264716G1-A. GE ADVANTIX","GE ",""," 46-264716G1","0","1"
" PHILIPS PET Bare PCB assembly, part number 4535 670 09311 REV."," PHILIPS PET Bare PCB assembly, part number 4535 670 09311 REV.","","","453567009311","0","1"
"This is an EIZO FlexScan S1921 LCD Monitor, Part Number 0FTD1750.. EIZO","This is an EIZO FlexScan S1921 LCD Monitor, Part Number 0FTD1750.. EIZO","EIZO","","0FTD1750","0","1"
"3520785 3520777. SIEMENS","3520785 3520777. SIEMENS","SIEMENS","","3520785","0","1"
"This GE part, item SMD 18102 G, has a model number of 5128455-2 and a part number of 6GF6221-2CB18.. GE","This GE part, item SMD 18102 G, has a model number of 5128455-2 and a part number of 6GF6221-2CB18.. GE","GE","","5128455-2 ","0","1"
"GE Medical Systems Image Gate Control board, part number 46-264716 G1-A.. GE","GE Medical Systems Image Gate Control board, part number 46-264716 G1-A.. GE","GE","","46-264716","0","1"
"2248992 2251530 GP MODULE. GE","2248992 2251530 GP MODULE. GE","GE","","2248992","0","1"
"451220400241 451217800087. FD20","451220400241 451217800087. FD20","PHILIPS","","451220400241","0","1"
"ACCOLADE 453567109891 REV B RESISTOR ASSY . BIGBORE","ACCOLADE 453567109891 REV B RESISTOR ASSY . BIGBORE","PHILIPS","","453567109891","0","1"
"This is an LCD monitor manufactured by Fimi S.r.l., Model 019CHS, part number 4553 000 08793.. FIMI","This is an LCD monitor manufactured by Fimi S.r.l., Model 019CHS, part number 4553 000 08793.. FIMI","PHILIPS","","455300008793","0","1"
"BAF Nr: 552100023 rev D. EMOTION DUO","BAF Nr: 552100023 rev D. EMOTION DUO","SIEMENS","","552100023","0","1"
"PX77-68803. TOSHIBA","PX77-68803. TOSHIBA","TOSHIBA","","PX77-68803","0","1"
"Martek Power board, possibly for a medical device, with part number 453567560251 REV B and transformers marked TV-145P.","Martek Power board, possibly for a medical device, with part number 453567560251 REV B and transformers marked TV-145P.","","","453567560251","0","1"
"8F0510 REV D TOUCH SCREEN. KODAK 8900","8F0510 REV D TOUCH SCREEN. KODAK 8900","KODAK","","8F0510","0","1"
"453567030501 anode hvm 405568-012. PHILIPS","453567030501 anode hvm 405568-012. PHILIPS","PHILIPS","","453567030501","0","1"
"cable with a visible part number of 2337252-10.. GE","cable with a visible part number of 2337252-10.. GE","GE","","2337252-10","0","1"
"3820763 CONTROL CONSOLE. SIEMENS","3820763 CONTROL CONSOLE. SIEMENS","SIEMENS","","3820763","0","1"
"COSEL R15U-5 174380. GE","COSEL R15U-5 174380. GE","GE","","R15U-5 174380","0","1"
"6405059 D386. COROSKOP","6405059 D386. COROSKOP","SIEMENS","","6405059","0","1"
"This is an ECG-IF interface board with part number YWM1413 and possibly Eight 8-20 printed on it.. TOSHIBA","This is an ECG-IF interface board with part number YWM1413 and possibly Eight 8-20 printed on it.. TOSHIBA","TOSHIBA","","YWM1413 ","0","1"
"P86M-94V-0 600 KZ PMT BD 5H7180 2676-061.A LASER. KODAK CR975","P86M-94V-0 600 KZ PMT BD 5H7180 2676-061.A LASER. KODAK CR975","KODAK","","P86M-94V-0","0","1"
"989600038042 FOOT PEDAL. PHILIPS","989600038042 FOOT PEDAL. PHILIPS","PHILIPS","","989600038042","0","1"
"PIPSQ CC4090-S10. HITACHI MRP7000","PIPSQ CC4090-S10. HITACHI MRP7000","HITACHI","","CC4090-S10","0","1"
"Siemens medical equipment part with Model No. 08096211 and potentially part number 01B3 37092, featuring multiple ports labeled X6, X7, X8, and X9.. SIEMENS Flash","Siemens medical equipment part with Model No. 08096211 and potentially part number 01B3 37092, featuring multiple ports labeled X6, X7, X8, and X9.. SIEMENS Flash","SIEMENS","","8096211","0","1"
"Actuador Short Assy, 989600184663 and 'ON 400111806. SN 003279'.. PHILIPS","Actuador Short Assy, 989600184663 and 'ON 400111806. SN 003279'.. PHILIPS","PHILIPS","","989600184663","0","1"
"6525914. SIEMENS","6525914. SIEMENS","SIEMENS","","6525914","0","1"
"SH4-1 E-SH4 ROM. APERTO","SH4-1 E-SH4 ROM. APERTO","HITACHI","","SH4-1","0","1"
"Spellman AC Module Assy X3338, with part number 405378-011.. Spellman","Spellman AC Module Assy X3338, with part number 405378-011.. Spellman","PHILIPS","","405378-011","0","1"
